OperatorControlNumber,DifficultyDate,SubmissionDate,OperatorDesignator,SubmitterDesignator,SubmitterTypeCode,ReceivingRegionCode,ReceivingDistrictOffice,SDRType,JASCCode,NatureOfConditionA,NatureOfConditionB,NatureOfConditionC,PrecautionaryProcedureA,PrecautionaryProcedureB,PrecautionaryProcedureC,PrecautionaryProcedureD,StageOfOperationCode,HowDiscoveredCode,RegistryNNumber,AircraftMake,AircraftModel,AircraftSerialNumber,AircraftTotalTime,AircraftTotalCycles,EngineMake,EngineModel,EngineSerialNumber,EngineTotalTime,EngineTotalCycles,PropellerMake,PropellerModel,PropellerSerialNumber,PropellerTotalTime,PropellerTotalCycles,PartMake,PartName,PartNumber,PartSerialNumber,PartCondition,PartLocation,PartTotalTime,PartTotalCycles,PartTimeSince,PartSinceCode,ComponentMake,ComponentModel,ComponentName,ComponentPartNumber,ComponentSerialNumber,ComponentLocation,ComponentTotalTime,ComponentTotalCycles,ComponentTimeSince,ComponentSinceCode,FuselageStationFrom,FuselageStationTo,StringerFrom,StringerFromSide,StringerTo,StringerToSide,WingStationFrom,WingStationFromSide,WingStationTo,WingStationToSide,ButtLineFrom,ButtLineFromSide,ButtlineTo,ButtlineToSide,WaterLineFrom,WaterLineTo,CrackLength,NumberOfCracks,CorrosionLevel,StructuralOther,Discrepancy
CALA2026010212575,01/01/2026,"2026-01-02T14:09:41.140-05:00",CALA,CALA,A,GL,33,A,2530,B,,,O,,,,CR,O,17328,BOEING,7378,67583,7759,2526,,,,,,,,,,,,CHILLER,,,ODOR,"ZONE 900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SMOKE ODOR CONDITIONAL INSP REQUIRED PER AMM 05-51-XX DUE TO AN INCIDENT REPORTED BY THE CREW. DO TO REPORT OF BURNING SMELL BY F/A IN THE AFT GALLEY, A/C REQUIRES INSPECTION PER AMM 05-51-56-200-801 FOLLOWED FIM 21-00 TASK 830 FOUND SOURCE OF SMELL FROM CHILLER, FA VERIFIED AFTER TURNING OFF CHILLER IN FLIGHT SMELL WENT AWAY. REF LP# 7468188 ADD EMP:413693 UPDATED WITH SDR"
AALA202601050865,01/02/2026,"2026-01-05T07:43:38.557-05:00",AALA,AALA,A,SW,21,A,5320,O,,,K,,,,IN,V,948NN,BOEING,737823,31189,34302,114200,,,,,,,,,,,BOEING,FLOORBEAM,143A524036,,CRACKED,"ZONE 200",,,,,,,,,,,,,,,540,,,,,,,,,,2,R,,,,,1.500,1,,,"AIRCRAFT IN BASE MAINTENANCE: CRACK IN PASSENGER CABIN FLOORBEAM  AT BS 540, RBL 2. REPLACED BREAK ASSEMBLY PANEL PER AARD 51-00-05-1."
AALA202601056048,01/02/2026,"2026-01-05T07:43:38.717-05:00",AALA,AALA,A,SW,21,A,5320,O,,,K,,,,IN,V,948NN,BOEING,737823,31189,34302,114200,,,,,,,,,,,BOEING,FLOORBEAM,143A524035,,CRACKED,"ZONE 200",,,,,,,,,,,,,,,540,,,,,,,,,,2,L,,,,,1.250,1,,,"AIRCRAFT IN BASE MAINTENANCE: CRACK IN PASSENGER CABIN FLOORBEAM AT BS 540, LBL 2. REPLACED BREAK ASSEMBLY PANEL PER AARD 51-00-05-1."
AALA202601050291,01/02/2026,"2026-01-05T07:43:38.880-05:00",AALA,AALA,A,SW,21,A,5320,O,,,K,,,,IN,V,948NN,BOEING,737823,31189,34302,114200,,,,,,,,,,,BOEING,"FLOOR SUPPORT",141A5410140,,CRACKED,"ZONE 200",,,,,,,,,,,,,,,328,,,,,,,,,,41,R,,,,,1.000,1,,,"AIRCRAFT IN BASE MAINTENANCE: CRACK IN PASSENGER CABIN FLOOR SUPPORT AT BS 328, RBL 41. REPLACED INTERCOSTAL PER AARD 51-00-05-1."
CALA2026010212586,01/02/2026,"2026-01-02T14:09:42.780-05:00",CALA,CALA,A,GL,33,A,2421,K,J,,B,A,,,CR,O,670UA,BOEING,767322,29240,92164,18411,,,,,,,,,,,,SEAL,,,LEAKING,"NR 1 IDG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NUMBER 1 ENG OIL QTY SLOWLY REDUCED TO 0 OVR 90 MINS ALL OTHER ENG IND. NORM AT THIS TIME. CAPT REPORTED THE OIL PRESSURE WAS 92 PSI UPON ENG SHUTDOWN AFTER LANDING CREW REPORTED ENG NR 1 OIL PRESSURE DROPPED DOWN TO 90 PSI. ACP'D ENG NR 1 INSPECT FOUND OIL COMING OUT OF VENT DRAIN FOR IDG DRIVE OIL SEAL DRAIN, WHILE THE ENG IS RUNNING. FOUND CORRECT IDG DRIVE SEAL INSTALLED REF IPC 72-61-04 -05 ITEM 45, REPLACED PACKING ON IDG DRIVE SEAL ASSY IAW AMM 24-11-01. REMOVED & REINSTALLED NR 1 ENG IAW AMM 24-11-01 ACCOMPLISHED ENG RUN & LEAK CHECK, OPS CHECK NORMAL  NO LEAKS NOTED UPDATE FOR INSPECTION ACCOMP NR 1 ENG IDG FEEDER CABLE INSTALLATION IAW GMM 09-10-05 MAINT ACTION COMPLETED. ACFT OK FOR SERVICE."
ABXA20260102001,01/02/2026,"2026-01-04T13:47:22.517-05:00",ABXA,ABXA,A,SW,99,A,2820,S,,,D,,,,TX,O,774AX,BOEING,767281,22789,74369,47503,,,,,,,,,,,,"TRANSFER SYS",,,FAULTED,"ZONE 100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DURING TAXI OUT FUEL IN LEFT TANK TRANSFERRED TO CENTER TANK WITHOUT TRANSFER ON. APPROX. 14.5 THOUSAND POUNDS TRANSFERED ON ITS OWN FROM LT TANK TO CNT TANK.A/C RETURNED TO THE GATE (BTB) AND MTX GROUNDED A/C AND TRANSFERRED FUEL FROM CTR TANK TO LT TANK IAW AMM 28-26-00. NO FUEL IN CTR TANK AS OF 19:50 LOCAL.AND RETURNED A/C TO SERVICE ."
ABXA20260103002,01/03/2026,"2026-01-04T13:53:24.980-05:00",ABXA,ABXA,A,SW,99,A,7830,J,,,D,,,,TX,O,651GT,BOEING,767231,22570,91661,28393,,,,,,,,,,,,"THRUST REVERSER",,,FAULTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"DURING TAXI OUT PILOT VERBAL RH T/R  REV. ISLN VALVE EICAS MEASAGE .APPEARED.A/C RETURNED TO GATE (BTB) AND MTX GROUNDED A/C . MTX DEFERRED RH T/R  FOR DEARTURE IAW  MEL 78-31-1 MX PROCEDURES ACCOMPLISHED PLACARDS INSTALLED MBCB 01/13/26.AND RETURNED A/C TO SERVICE."
YENA2026010200001,01/02/2026,"2026-01-02T10:19:15.760-05:00",YENA,YENA,A,EA,15,A,2120,B,,,O,,,,AP,O,529JB,AIRBUS,A320232,01610,88672,32135,,,,,,,,,,,,UNKNOWN,,,ODOR,CABIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FLT# 745 JFK- PSE.   DURING BASE TO FINAL A STRONG SMELL WAS NOTED BY INFLIGHT IN THE CABIN. SMELL DID NO LAST LONG AFTER LANDING..  C/W INFORMATION NOTICE 2017-T015, STEP 1 , ISOLATRED FAULT TO TYPE 10, (AMBIENT AIR) PER TSM 05-50-00-810-085-BTDM 50-50-00-810-085-D. ACFT OK FOR SERVICE."
YENA2026010200002,01/02/2026,"2026-01-02T10:30:59.187-05:00",YENA,YENA,A,EA,15,A,2120,B,,,O,,,,CL,O,2039J,AIRBUS,A321271NX,09016,19706,5412,,,,,,,,,,,,UNKNOWN,,,ODOR,CABIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FLT # 938 SJD-JFK.   MAGIC MARKER SMELL IN FLIGHT DECK AND FWD GALLEY , APU BLLED BOTH PACKS ON. ( APU SYSTEM ), AIRCRAFT N2039J OPERATING FLIGHT 938 SJD - JFK REPORTED A CABIN ODOR EVENT. THE FLIGHT CREW REPORTED PACK 1 FUME EVENT ON TAKEOFF, LEVEL 2 DIRTY SOCK SMELL. THE ODOR DISSIPATED AFTER SELECTING PACK 1 OFF. THE AIRCRAFT HAS BEEN TAKEN OUT OF SERVICE AT JFK FOR TROUBLESHOOTING. THIS AIRCRAFT HAD ONE PREVIOUS REPORT RELATED TO THIS EVENT WITHIN THE LAST 30 DAYS."
YENA2026010200003,01/01/2026,"2026-01-02T10:41:30.023-05:00",YENA,YENA,A,EA,15,A,2120,B,,,O,,,,CL,O,992JB,AIRBUS,A321231,08178,32576,6455,,,,,,,,,,,,UNKNOWN,,,ODOR,CABIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"FLT # 988 LAX- BOS. "" FLIGHT ATTENDANTS REPORT DIRTY SOCK SMELL DURING INITIAL CLIMB. ODOR WAS MOST PREVALENT BETWEEN ROWS 6-11. FLT CREW COMPLETED CABIN ODOR RECOGNITION AND ISOLATION CHECKLIST. PROCEDURE WAS INCONCLUSIVE AND NEITHER PACK ISOLATED THE ODOR. APPROXIMATELY ON HOUR AFTER TAKE OFF, FUMES ODOR REPORTEDLY DISSIPATED. NO FURTHERFUMES OR ODORS REPORTED AND FLIGHT CONTINUED TO DESTINATION WITHOUT FURTHER INCIDENT.; COMPLIED WITH INFORMATION NOTICE 2017-T015. STEEP 1, ISILATED FAULT TO TYPE 10 AMBIENT AIR DURNING (CLIMB) FLIGHT PHASE. RAN APU AND ENG'S INSOLATED. NO ODOR NOTED PER TSM 05-50-00-810-085-B / TSM05-50-00-810-058-D. ACFT OK FOR SERVICE"
