AircraftModel,PartName,PartNumber,PartCondition,Discrepancy
7378,CHILLER,,ODOR,"SMOKE ODOR CONDITIONAL INSP REQUIRED PER AMM 05-51-XX DUE TO AN INCIDENT REPORTED BY THE CREW. DO TO REPORT OF BURNING SMELL BY F/A IN THE AFT GALLEY, A/C REQUIRES INSPECTION PER AMM 05-51-56-200-801 FOLLOWED FIM 21-00 TASK 830 FOUND SOURCE OF SMELL FROM CHILLER, FA VERIFIED AFTER TURNING OFF CHILLER IN FLIGHT SMELL WENT AWAY. REF LP# 7468188 ADD EMP:413693 UPDATED WITH SDR"
737823,FLOORBEAM,143A524036,CRACKED,"AIRCRAFT IN BASE MAINTENANCE: CRACK IN PASSENGER CABIN FLOORBEAM AT BS 540, RBL 2. REPLACED BREAK ASSEMBLY PANEL PER AARD 51-00-05-1."
737823,FLOORBEAM,143A524035,CRACKED,"AIRCRAFT IN BASE MAINTENANCE: CRACK IN PASSENGER CABIN FLOORBEAM AT BS 540, LBL 2. REPLACED BREAK ASSEMBLY PANEL PER AARD 51-00-05-1."
737823,FLOOR SUPPORT,141A5410140,CRACKED,"AIRCRAFT IN BASE MAINTENANCE: CRACK IN PASSENGER CABIN FLOOR SUPPORT AT BS 328, RBL 41. REPLACED INTERCOSTAL PER AARD 51-00-05-1."
767322,SEAL,,LEAKING,"NUMBER 1 ENG OIL QTY SLOWLY REDUCED TO 0 OVR 90 MINS ALL OTHER ENG IND. NORM AT THIS TIME. CAPT REPORTED THE OIL PRESSURE WAS 92 PSI UPON ENG SHUTDOWN AFTER LANDING CREW REPORTED ENG NR 1 OIL PRESSURE DROPPED DOWN TO 90 PSI. ACP'D ENG NR 1 INSPECT FOUND OIL COMING OUT OF VENT DRAIN FOR IDG DRIVE OIL SEAL DRAIN, WHILE THE ENG IS RUNNING. FOUND CORRECT IDG DRIVE SEAL INSTALLED REF IPC 72-61-04 -05 ITEM 45, REPLACED PACKING ON IDG DRIVE SEAL ASSY IAW AMM 24-11-01. REMOVED & REINSTALLED NR 1 ENG IAW AMM 24-11-01 ACCOMPLISHED ENG RUN & LEAK CHECK, OPS CHECK NORMAL NO LEAKS NOTED UPDATE FOR INSPECTION ACCOMP NR 1 ENG IDG FEEDER CABLE INSTALLATION IAW GMM 09-10-05 MAINT ACTION COMPLETED. ACFT OK FOR SERVICE."
767281,TRANSFER SYS,,FAULTED,DURING TAXI OUT FUEL IN LEFT TANK TRANSFERRED TO CENTER TANK WITHOUT TRANSFER ON. APPROX. 14.5 THOUSAND POUNDS TRANSFERED ON ITS OWN FROM LT TANK TO CNT TANK.A/C RETURNED TO THE GATE (BTB) AND MTX GROUNDED A/C AND TRANSFERRED FUEL FROM CTR TANK TO LT TANK IAW AMM 28-26-00. NO FUEL IN CTR TANK AS OF 19:50 LOCAL.AND RETURNED A/C TO SERVICE .
767231,THRUST REVERSER,,FAULTED,DURING TAXI OUT PILOT VERBAL RH T/R REV. ISLN VALVE EICAS MEASAGE .APPEARED.A/C RETURNED TO GATE (BTB) AND MTX GROUNDED A/C . MTX DEFERRED RH T/R FOR DEARTURE IAW MEL 78-31-1 MX PROCEDURES ACCOMPLISHED PLACARDS INSTALLED MBCB 01/13/26.AND RETURNED A/C TO SERVICE.
A320232,UNKNOWN,,ODOR,"FLT# 745 JFK- PSE. DURING BASE TO FINAL A STRONG SMELL WAS NOTED BY INFLIGHT IN THE CABIN. SMELL DID NO LAST LONG AFTER LANDING.. C/W INFORMATION NOTICE 2017-T015, STEP 1 , ISOLATRED FAULT TO TYPE 10, (AMBIENT AIR) PER TSM 05-50-00-810-085-BTDM 50-50-00-810-085-D. ACFT OK FOR SERVICE."
A321271NX,UNKNOWN,,ODOR,"FLT # 938 SJD-JFK. MAGIC MARKER SMELL IN FLIGHT DECK AND FWD GALLEY , APU BLLED BOTH PACKS ON. ( APU SYSTEM ), AIRCRAFT N2039J OPERATING FLIGHT 938 SJD - JFK REPORTED A CABIN ODOR EVENT. THE FLIGHT CREW REPORTED PACK 1 FUME EVENT ON TAKEOFF, LEVEL 2 DIRTY SOCK SMELL. THE ODOR DISSIPATED AFTER SELECTING PACK 1 OFF. THE AIRCRAFT HAS BEEN TAKEN OUT OF SERVICE AT JFK FOR TROUBLESHOOTING. THIS AIRCRAFT HAD ONE PREVIOUS REPORT RELATED TO THIS EVENT WITHIN THE LAST 30 DAYS."
A321231,UNKNOWN,,ODOR,"FLT # 988 LAX- BOS. "" FLIGHT ATTENDANTS REPORT DIRTY SOCK SMELL DURING INITIAL CLIMB. ODOR WAS MOST PREVALENT BETWEEN ROWS 6-11. FLT CREW COMPLETED CABIN ODOR RECOGNITION AND ISOLATION CHECKLIST. PROCEDURE WAS INCONCLUSIVE AND NEITHER PACK ISOLATED THE ODOR. APPROXIMATELY ON HOUR AFTER TAKE OFF, FUMES ODOR REPORTEDLY DISSIPATED. NO FURTHERFUMES OR ODORS REPORTED AND FLIGHT CONTINUED TO DESTINATION WITHOUT FURTHER INCIDENT.; COMPLIED WITH INFORMATION NOTICE 2017-T015. STEEP 1, ISILATED FAULT TO TYPE 10 AMBIENT AIR DURNING (CLIMB) FLIGHT PHASE. RAN APU AND ENG'S INSOLATED. NO ODOR NOTED PER TSM 05-50-00-810-085-B / TSM05-50-00-810-058-D. ACFT OK FOR SERVICE"
